,duration_seconds
0,2700.0
1,7200.0
3,20.0
4,900.0
7,1200.0
9,120.0
10,300.0
11,180.0
12,1800.0
13,180.0
14,30.0
15,1200.0
16,120.0
18,20.0
19,2700.0
20,1200.0
21,1200.0
22,360.0
23,60.0
24,3.0
25,30.0
26,30.0
27,300.0
28,900.0
29,270.0
30,180.0
31,1800.0
32,180.0
33,300.0
34,300.0
35,120.0
36,60.0
37,120.0
38,20.0
39,600.0
40,180.0
41,600.0
42,120.0
43,60.0
44,2.0
45,300.0
46,60.0
47,180.0
48,120.0
49,1800.0
50,600.0
51,3600.0
52,10.0
53,60.0
54,30.0
55,1200.0
56,8.0
57,60.0
58,3600.0
59,120.0
60,5.0
61,3600.0
62,120.0
63,60.0
64,3.0
65,300.0
66,300.0
67,60.0
68,14400.0
69,30.0
70,300.0
71,3600.0
72,300.0
73,15.0
74,1800.0
75,600.0
76,2700.0
77,60.0
78,600.0
80,7200.0
81,15.0
82,3600.0
83,600.0
84,10.0
85,3600.0
86,45.0
87,90.0
88,10800.0
89,300.0
90,120.0
91,240.0
92,2700.0
93,180.0
94,10.0
95,30.0
96,45.0
97,15.0
98,1800.0
99,5.0
100,10.0
101,60.0
102,240.0
103,180.0
104,300.0
105,120.0
106,300.0
107,900.0
108,60.0
109,30.0
110,43.0
111,5.0
112,600.0
113,90.0
114,120.0
115,1800.0
116,120.0
117,120.0
118,300.0
119,1800.0
120,600.0
121,15.0
122,18000.0
123,37800.0
124,180.0
125,2700.0
126,1800.0
127,180.0
128,2700.0
129,1200.0
130,5.0
131,15.0
132,300.0
133,10.0
134,180.0
135,3600.0
136,240.0
137,1200.0
138,900.0
139,900.0
140,7200.0
141,60.0
142,3000.0
143,60.0
144,30.0
145,1800.0
146,10.0
147,300.0
148,360.0
149,240.0
150,3600.0
151,1200.0
152,600.0
153,300.0
154,3600.0
155,600.0
156,10.0
157,600.0
158,600.0
159,2.0
160,360.0
161,120.0
162,120.0
163,300.0
164,300.0
165,14400.0
166,3600.0
167,2700.0
168,30.0
169,600.0
170,10800.0
171,120.0
172,3.0
173,60.0
174,180.0
175,3600.0
176,30.0
177,120.0
178,35.0
179,600.0
180,600.0
181,3600.0
182,4.0
183,15.0
184,600.0
185,120.0
186,300.0
187,240.0
188,600.0
189,600.0
190,45.0
191,60.0
192,900.0
193,600.0
194,10.0
195,120.0
196,60.0
197,180.0
198,300.0
199,900.0
200,30.0
201,20.0
202,60.0
203,60.0
204,6.0
205,180.0
206,900.0
207,300.0
208,600.0
209,300.0
210,900.0
211,180.0
212,7200.0
213,240.0
214,180.0
215,600.0
216,240.0
217,180.0
218,300.0
219,15.0
220,600.0
221,120.0
222,60.0
223,5.0
224,600.0
225,30.0
226,7200.0
227,10.0
228,7200.0
229,1200.0
230,7200.0
231,300.0
232,300.0
233,60.0
234,300.0
235,40.0
236,5.0
237,2700.0
238,300.0
239,2700.0
240,4.0
241,1200.0
242,60.0
243,15.0
244,3.0
245,90.0
246,630.0
247,300.0
248,240.0
249,120.0
250,900.0
251,240.0
252,20.0
253,240.0
254,1800.0
255,30.0
256,120.0
258,6.0
259,300.0
260,240.0
261,1200.0
262,180.0
263,600.0
264,20.0
265,5.0
266,60.0
267,5.0
268,600.0
269,10800.0
270,10.0
271,60.0
272,120.0
273,120.0
274,600.0
275,300.0
276,5.0
277,1200.0
278,60.0
279,45.0
280,180.0
281,45.0
282,1.0
283,14400.0
284,300.0
286,30.0
287,60.0
288,180.0
289,300.0
290,900.0
291,300.0
292,4.0
293,720.0
294,120.0
295,60.0
297,3600.0
298,120.0
299,10.0
300,14400.0
301,30.0
302,4.0
303,180.0
304,300.0
307,10.0
308,6.0
309,30.0
310,30.0
311,60.0
312,60.0
313,5400.0
314,2.0
315,45.0
316,600.0
317,3600.0
318,900.0
319,900.0
320,600.0
321,3.0
322,30.0
323,30.0
324,240.0
325,1500.0
326,10800.0
327,1800.0
328,900.0
329,300.0
330,60.0
331,300.0
332,6.0
333,600.0
334,300.0
335,3.0
337,5.0
338,120.0
339,3.0
340,3.0
341,40.0
342,2.0
343,600.0
344,10.0
345,180.0
346,600.0
347,3.0
348,20.0
349,20.0
350,7200.0
351,15.0
352,1200.0
353,2700.0
354,60.0
355,120.0
356,5.0
357,1351.0
359,540.0
360,180.0
361,180.0
362,7200.0
363,180.0
364,600.0
365,720.0
366,2.0
367,5400.0
